session_id,pages_viewed,time_on_site_min,items_added,cart_total_gbp,used_discount_code,is_returning,device_mobile,hour_of_day,prev_orders,completed
900047,6,9.8,0,0.0,0,0,0,6,0,0
900048,5,3.6,2,46.39,0,0,1,2,0,0
900049,9,3.1,1,10.53,0,0,0,13,0,1
900050,8,0.9,1,31.27,0,1,0,22,2,0
900051,3,2.8,1,19.68,0,1,0,12,1,1
900052,9,7.3,0,0.0,0,1,0,8,1,0
900053,6,0.6,0,0.0,0,0,0,15,0,0
900054,10,2.0,1,39.06,0,0,0,8,0,0
900055,3,5.9,1,29.77,0,1,0,19,2,0
900056,7,4.1,0,0.0,0,1,1,0,6,1
900057,8,0.4,2,103.96,0,1,1,1,2,0
900058,3,2.9,0,0.0,0,0,0,9,0,0
900059,5,0.6,3,118.89,0,1,1,12,0,1
900060,5,2.0,1,28.77,0,0,1,11,0,0
900061,7,8.1,3,111.7,0,0,0,6,0,1
900062,7,0.2,4,214.37,0,1,1,18,1,1
900063,5,13.2,0,0.0,0,0,0,11,0,0
900064,4,0.1,0,0.0,0,1,1,23,0,0
900065,9,9.9,1,49.96,0,1,1,1,2,0
900066,6,2.6,2,66.92,0,1,1,16,3,1
900067,5,2.4,0,0.0,0,1,1,10,3,1
900068,5,0.9,2,76.06,0,0,1,6,0,0
900069,8,2.7,3,125.23,0,1,1,8,3,0
900070,12,4.7,0,0.0,0,0,1,16,0,0
900071,5,3.0,1,50.86,0,1,0,22,3,1
900072,5,5.9,1,48.29,0,0,1,19,0,0
900073,6,0.9,0,0.0,0,0,1,2,0,0
900074,8,2.8,1,32.58,1,0,1,9,0,0
900075,5,0.5,0,0.0,0,0,1,2,0,0
900076,6,4.2,2,67.41,0,1,0,7,0,1
900077,6,10.5,1,70.1,0,1,1,10,2,0
900078,5,7.1,1,34.48,0,1,1,9,1,1
900079,7,11.3,1,13.25,0,1,0,22,1,1
900080,11,5.3,0,0.0,0,0,1,23,0,0
900081,5,1.8,2,76.12,0,1,0,18,1,1
900082,2,6.6,0,0.0,0,0,1,0,0,0
900083,4,0.1,3,65.13,0,0,1,7,0,0
900084,12,4.3,3,112.49,0,1,0,1,2,0
900085,10,13.5,1,44.84,0,1,0,17,2,0
900086,7,0.5,1,43.95,0,1,1,6,1,1
900087,5,3.4,1,46.64,1,1,0,1,4,0
900088,2,1.2,1,17.92,0,0,0,10,0,0
900089,7,2.0,3,65.13,1,1,1,23,6,1
900090,2,5.5,2,71.39,0,1,1,5,4,1
900091,6,1.1,1,49.43,0,1,0,4,0,1
900092,8,2.3,3,91.89,1,0,1,16,0,0
900093,6,10.2,4,33.35,1,0,0,3,0,1
900094,8,4.3,3,138.02,0,0,1,8,0,1
900095,3,3.9,1,5.0,0,0,1,0,0,0
900096,9,7.0,0,0.0,1,0,1,16,0,0
900097,8,2.1,2,90.42,0,0,1,7,0,0
900098,9,0.5,4,179.32,0,1,1,17,2,1
900099,8,1.8,0,0.0,1,0,1,1,0,0
900100,3,0.6,0,0.0,0,0,1,12,0,0
900101,2,3.1,3,156.79,1,0,1,22,0,1
900102,4,17.8,2,87.38,0,1,0,17,2,0
900103,4,1.5,2,65.79,0,0,1,8,0,1
900104,2,2.1,0,0.0,0,1,1,15,1,0
900105,2,10.6,2,53.95,0,0,1,12,0,0
900106,7,0.3,1,48.73,1,1,0,0,2,1
900107,6,7.6,0,0.0,0,0,0,6,0,0
900108,3,1.1,2,61.4,0,0,1,4,0,0
900109,2,0.2,2,90.36,0,1,0,3,1,0
900110,2,0.1,1,48.03,0,0,1,5,0,0
900111,5,2.9,3,99.16,1,1,1,1,0,1
900112,10,2.5,3,24.94,1,0,1,13,0,1
900113,7,9.6,0,0.0,0,0,1,11,0,0
900114,2,1.5,0,0.0,1,0,0,20,0,0
900115,7,10.4,0,0.0,0,1,1,8,2,0
900116,5,4.4,1,43.03,0,1,1,2,2,1
900117,3,1.5,2,65.4,0,1,1,13,0,0
900118,6,0.9,2,94.35,0,1,1,21,4,0
900119,4,7.5,1,21.59,1,1,1,21,1,1
900120,8,0.1,1,49.44,0,0,0,20,0,0
900121,4,3.2,3,115.24,0,1,1,23,0,0
900122,7,0.1,0,0.0,0,1,1,18,2,1
900123,7,3.7,0,0.0,1,1,1,22,3,1
900124,11,8.5,1,31.92,1,1,1,7,2,1
900125,4,1.8,1,42.17,0,0,1,7,0,0
900126,10,2.1,1,24.43,0,1,0,17,0,0
900127,4,1.8,1,20.28,0,0,0,1,0,0
900128,6,1.3,2,96.26,0,1,1,7,2,1
900129,4,3.4,1,41.49,0,0,1,12,0,0
900130,5,0.7,3,70.74,0,0,1,7,0,0
900131,9,3.2,3,109.07,0,1,1,15,3,1
900132,6,7.7,1,35.61,0,1,1,9,3,1
900133,6,2.2,0,0.0,1,0,0,2,0,0
900134,7,0.6,4,150.62,0,0,0,16,0,1
900135,5,1.6,4,138.71,0,1,1,17,3,1
900136,7,3.8,0,0.0,0,1,0,3,3,0
900137,9,22.9,0,0.0,1,1,1,1,1,0
900138,6,3.9,1,28.56,0,0,1,15,0,0
900139,3,12.4,3,84.73,1,0,0,5,0,1
900140,9,5.6,0,0.0,0,1,1,9,0,0
900141,6,4.2,4,53.8,0,1,1,22,2,1
900142,5,8.3,1,21.49,0,1,1,8,0,1
900143,4,3.6,1,32.79,0,0,1,18,0,0
900144,7,1.5,2,66.84,1,0,1,23,0,1
900145,7,0.3,2,93.77,0,0,0,18,0,1
900146,11,4.0,1,18.03,0,0,1,21,0,0
900147,8,1.0,1,29.65,0,1,0,21,3,0
900148,4,6.1,2,69.82,0,1,0,20,1,0
900149,6,5.7,2,62.26,0,1,0,7,1,0
900150,5,0.1,3,78.13,0,1,1,3,1,1
900151,10,0.5,1,27.37,0,1,0,14,6,1
900152,10,0.2,0,0.0,0,0,1,1,0,0
900153,12,9.3,1,31.73,1,1,0,16,1,1
900154,6,0.3,1,30.47,0,1,1,9,3,0
900155,2,4.5,1,20.86,1,1,1,15,1,0
900156,6,4.6,1,62.44,0,0,0,7,0,1
900157,6,3.9,2,73.51,0,1,0,4,1,1
900158,6,6.0,0,0.0,0,0,1,5,0,0
900159,9,9.3,4,126.52,0,0,0,1,0,0
900160,5,0.3,1,36.46,0,0,0,16,0,1
900161,10,0.9,0,0.0,0,0,1,8,0,1
900162,4,0.6,3,100.64,1,1,0,21,3,1
900163,1,19.0,1,36.45,0,0,0,21,0,0
900164,5,7.4,1,37.84,1,0,0,6,0,0
900165,6,5.5,2,64.82,0,0,1,15,0,0
900166,7,3.2,3,101.4,0,0,0,0,0,1
900167,3,7.8,1,47.41,0,0,1,8,0,0
900168,5,4.8,2,46.72,0,0,1,8,0,0
900169,8,5.2,1,55.94,0,1,1,8,0,1
900170,6,16.9,0,0.0,0,0,1,3,0,1
900171,4,1.9,1,31.56,0,1,1,14,1,1
900172,8,6.1,0,0.0,0,1,0,0,4,0
900173,1,1.7,1,45.15,1,1,1,22,0,1
900174,8,22.6,0,0.0,0,1,1,21,2,0
900175,5,5.1,1,33.83,0,1,1,7,6,1
900176,3,3.7,2,31.16,0,0,1,1,0,0
900177,4,6.1,2,53.57,0,1,1,10,3,0
900178,6,0.5,3,108.03,0,1,1,8,5,1
900179,6,0.2,1,41.02,0,0,0,23,0,0
900180,7,0.7,0,0.0,0,1,1,23,4,1
900181,8,6.2,3,120.57,0,0,1,13,0,1
900182,5,6.6,0,0.0,1,1,1,17,1,1
900183,9,4.7,1,42.92,1,0,1,11,0,0
900184,4,2.3,1,61.23,0,1,1,4,3,1
900185,6,3.9,1,37.24,0,1,0,15,2,1
900186,9,0.7,2,67.48,0,1,1,12,0,0
900187,3,0.1,0,0.0,1,0,1,18,0,0
900188,4,9.6,0,0.0,0,1,1,4,1,1
900189,6,1.7,3,104.41,1,1,1,9,6,0
900190,10,0.1,2,89.65,0,1,1,1,1,1
900191,8,0.5,0,0.0,0,1,0,20,2,0
900192,5,6.4,4,226.9,0,1,1,9,1,0
900193,7,3.4,1,40.82,0,1,1,5,3,1
900194,4,3.8,1,36.59,1,0,0,22,0,1
900195,6,0.4,3,118.55,0,0,1,1,0,0
900196,5,4.6,1,35.32,0,1,0,11,0,1
900197,7,4.8,0,0.0,0,0,1,13,0,0
900198,5,0.4,0,0.0,0,1,1,11,2,0
900199,7,3.3,4,118.91,0,1,0,14,1,1
900200,7,1.6,2,39.32,0,1,1,15,3,1
900201,11,5.7,1,36.98,0,1,1,7,1,1
900202,3,2.0,3,112.97,0,1,1,18,2,1
900203,5,3.6,1,47.25,0,0,0,6,0,0
900204,7,1.9,0,0.0,0,0,0,12,0,0
900205,2,0.5,3,89.79,0,1,1,11,4,0
900206,10,11.0,4,111.92,0,1,1,5,3,0
900207,7,1.7,1,27.8,0,1,1,11,1,1
900208,7,5.7,1,25.25,0,1,1,22,3,0
900209,7,0.1,2,41.78,0,1,1,18,3,0
900210,4,0.1,1,9.0,0,1,1,3,1,1
900211,5,3.0,2,90.21,0,1,1,15,2,0
900212,12,23.5,0,0.0,0,1,1,6,1,0
900213,7,0.6,1,60.42,0,0,0,20,0,0
900214,6,0.1,1,17.51,0,0,1,16,0,1
900215,7,0.7,2,117.29,1,1,1,16,0,0
900216,4,5.2,4,133.21,0,1,1,21,2,0
900217,8,1.2,4,64.27,0,0,1,5,0,0
900218,5,0.4,0,0.0,0,1,1,18,0,0
900219,5,3.3,0,0.0,1,1,1,19,1,0
900220,13,1.7,0,0.0,0,1,1,23,1,0
900221,3,3.0,2,76.59,0,0,1,5,0,0
900222,10,7.3,2,61.32,1,1,1,13,0,1
900223,7,8.7,1,48.67,0,0,0,13,0,0
900224,5,12.6,0,0.0,0,1,0,9,0,0
900225,5,2.2,1,16.1,0,1,0,5,0,1
900226,7,1.4,3,151.57,0,1,1,11,2,0
900227,6,3.0,2,45.1,0,0,0,12,0,0
900228,4,0.9,1,22.26,0,0,1,6,0,0
900229,5,3.3,0,0.0,1,0,0,9,0,1
900230,8,2.1,2,78.09,0,1,1,15,3,1
900231,6,1.9,0,0.0,0,0,1,12,0,0
900232,7,2.3,1,13.89,0,1,1,22,2,1
900233,6,8.7,0,0.0,0,1,1,11,4,0
900234,4,0.4,0,0.0,1,0,0,16,0,1
900235,6,5.5,1,34.97,0,1,1,10,2,0
900236,12,5.0,3,145.26,0,0,0,9,0,0
900237,5,0.6,3,123.71,0,1,0,18,0,1
900238,12,0.2,1,28.41,0,1,1,3,3,0
900239,7,1.0,1,26.39,0,0,1,18,0,0
900240,9,6.9,0,0.0,0,1,0,18,3,1
900241,4,6.1,1,37.36,0,1,1,10,3,1
900242,5,3.3,1,36.39,0,0,1,13,0,0
900243,8,3.7,0,0.0,0,0,1,20,0,0
900244,5,6.2,5,166.74,0,1,1,21,1,0
900245,8,9.9,2,67.16,0,1,1,8,3,0
900246,6,8.5,1,25.21,0,1,1,23,3,1
900247,2,16.4,0,0.0,0,0,1,13,0,0
900248,6,0.1,1,43.95,1,0,1,3,0,0
900249,8,9.6,0,0.0,0,0,0,2,0,0
900250,5,6.3,1,12.49,0,1,1,3,1,1
900251,5,4.0,1,30.84,0,1,0,20,2,0
900252,8,0.5,2,76.61,0,1,0,16,2,1
900253,6,4.8,2,65.95,0,0,0,4,0,1
900254,8,0.8,1,20.66,0,1,1,6,3,1
900255,7,2.4,4,192.95,0,1,0,15,3,0
900256,7,1.7,1,37.78,0,0,1,9,0,0
900257,1,8.2,0,0.0,0,0,1,22,0,0
900258,5,0.8,1,34.46,1,1,1,9,1,0
900259,7,15.9,0,0.0,1,1,1,8,3,0
900260,8,4.2,3,64.05,1,0,1,2,0,0
900261,11,1.7,2,5.0,0,0,0,5,0,1
900262,10,0.6,1,35.42,0,1,1,11,4,1
900263,4,1.4,2,37.9,0,0,1,13,0,1
900264,5,16.6,3,136.26,0,0,1,15,0,1
900265,4,1.3,4,184.45,0,1,1,20,0,1
900266,2,3.6,2,77.47,0,1,1,6,2,1
900267,5,3.6,3,74.77,0,1,1,21,2,1
900268,3,3.3,2,69.76,0,1,1,13,2,0
900269,8,6.5,3,124.93,1,1,1,5,3,1
900270,4,10.8,2,79.74,0,1,0,20,4,1
900271,3,5.6,0,0.0,0,0,1,23,0,0
900272,8,4.9,3,37.04,0,1,0,15,3,1
900273,3,6.2,4,158.1,0,0,1,14,0,1
900274,5,3.3,1,34.76,0,0,1,10,0,0
900275,8,3.0,5,209.31,0,1,1,15,3,1
900276,7,1.1,2,69.52,0,1,1,21,4,0
900277,8,13.4,1,33.08,0,1,1,5,1,0
900278,8,2.2,0,0.0,0,1,1,16,1,0
900279,6,8.3,2,62.4,0,0,1,8,0,0
900280,5,1.5,3,191.4,0,1,1,23,4,0
900281,9,3.3,2,64.38,0,1,1,2,0,1
900282,3,0.6,2,62.19,0,0,1,1,0,0
900283,5,1.7,2,87.37,0,1,1,17,2,0
900284,4,3.1,0,0.0,0,1,1,5,4,0
900285,2,0.1,0,0.0,0,1,0,8,2,1
900286,5,4.0,2,49.41,0,1,0,5,1,0
900287,6,0.3,2,38.53,0,1,0,14,3,1
900288,8,0.8,1,34.34,0,0,1,10,0,0
900289,4,5.8,1,32.68,0,1,1,18,1,0
900290,7,2.2,0,0.0,0,1,1,18,3,0
900291,6,2.3,1,44.58,0,1,0,14,2,0
900292,8,5.9,2,92.19,0,0,1,8,0,1
900293,3,0.3,1,48.82,0,1,1,3,3,1
900294,5,3.0,3,68.08,0,1,1,21,1,1
900295,7,2.7,1,47.46,0,0,0,3,0,0
900296,4,2.9,2,24.53,1,1,1,23,1,1
900297,9,0.5,3,103.01,0,0,0,10,0,0
900298,5,0.4,2,90.71,0,1,1,3,2,0
900299,3,0.7,1,22.65,1,1,1,10,4,1
900300,2,10.5,0,0.0,1,0,1,2,0,1
900301,5,1.0,1,34.36,0,1,1,7,1,0
900302,1,1.2,2,109.64,0,0,1,23,0,1
900303,11,3.4,0,0.0,0,1,0,1,0,0
900304,7,3.6,2,98.18,0,0,1,18,0,0
900305,6,6.1,1,23.03,0,1,1,4,3,0
900306,3,3.8,4,140.2,0,0,0,21,0,1
900307,7,10.8,0,0.0,1,1,1,12,0,0
900308,5,5.3,2,91.68,0,0,0,2,0,0
900309,9,4.6,3,49.3,0,1,0,22,2,0
900310,5,3.3,0,0.0,0,1,1,8,1,1
900311,5,1.5,1,26.19,1,1,0,5,3,1
900312,6,1.4,3,94.67,0,1,1,15,0,1
900313,5,4.1,2,87.94,1,0,0,0,0,1
900314,6,1.3,4,122.65,0,1,1,22,6,1
900315,8,4.6,1,28.79,0,0,1,3,0,0
900316,2,3.1,1,47.97,0,0,1,2,0,1
900317,7,0.5,2,88.13,0,1,1,14,1,1
900318,4,1.6,1,39.03,0,0,0,22,0,0
900319,4,0.8,0,0.0,0,0,0,4,0,1
900320,11,3.9,0,0.0,1,1,0,11,3,1
900321,6,3.8,0,0.0,0,0,1,3,0,0
900322,9,1.8,2,62.54,0,0,1,14,0,1
900323,6,4.4,0,0.0,0,1,1,20,0,0
900324,5,8.5,1,18.02,0,0,1,12,0,1
900325,6,0.9,3,136.15,0,1,1,13,1,1
900326,2,0.7,0,0.0,1,0,0,11,0,0
900327,9,6.9,0,0.0,0,0,1,22,0,0
900328,5,2.0,3,73.27,0,1,1,7,1,0
900329,5,7.2,2,51.9,0,0,1,18,0,0
900330,2,1.6,2,78.07,1,0,1,19,0,1
900331,6,4.8,0,0.0,1,0,0,7,0,0
900332,7,11.6,2,34.24,0,1,1,7,2,1
900333,2,1.2,2,86.37,0,1,0,13,2,1
900334,6,2.1,2,17.56,0,0,0,15,0,0
900335,1,1.7,3,112.34,1,0,0,7,0,0
900336,8,3.2,0,0.0,1,0,0,2,0,0
900337,6,7.6,0,0.0,0,0,1,0,0,0
900338,6,7.4,3,122.45,0,1,1,8,2,1
900339,6,4.1,1,68.49,0,0,0,10,0,1
900340,2,4.1,0,0.0,1,1,1,5,6,0
900341,3,1.3,1,19.11,0,0,0,23,0,0
900342,5,2.7,1,68.09,0,1,1,8,3,0
900343,5,10.3,2,72.5,0,1,0,19,1,1
900344,10,8.2,0,0.0,0,1,0,18,4,0
900345,6,0.1,0,0.0,0,1,1,0,1,1
900346,3,0.6,1,31.25,0,1,1,0,2,1
900347,5,5.8,2,51.31,1,0,1,8,0,1
900348,13,2.8,0,0.0,0,0,1,7,0,0
900349,4,15.4,0,0.0,0,1,1,16,1,0
900350,10,0.3,3,91.72,0,1,1,5,5,1
900351,6,13.4,3,120.48,0,1,1,16,2,1
900352,10,2.5,1,22.96,0,0,1,4,0,0
900353,5,0.2,0,0.0,0,0,1,5,0,0
900354,6,2.4,2,58.37,0,1,0,16,1,1
900355,8,3.1,0,0.0,1,1,0,9,5,1
900356,6,0.9,1,55.09,0,0,1,22,0,0
900357,7,4.7,4,150.12,1,0,0,17,0,1
900358,4,1.8,0,0.0,0,0,0,5,0,0
900359,6,5.5,1,33.51,0,1,1,22,3,1
900360,8,2.2,0,0.0,0,1,1,22,1,1
900361,4,0.5,1,20.32,0,1,1,7,5,0
900362,6,4.6,1,24.01,0,0,0,21,0,0
900363,8,0.1,3,71.39,0,1,1,2,2,1
900364,3,0.5,0,0.0,0,0,0,21,0,0
900365,6,15.3,2,60.98,1,1,1,15,3,0
900366,4,3.4,3,44.35,1,1,1,14,1,1
900367,9,2.6,2,56.05,0,1,1,10,3,0
900368,3,3.3,0,0.0,0,0,0,22,0,0
900369,7,10.3,0,0.0,0,0,1,13,0,0
900370,4,3.4,0,0.0,1,1,0,10,3,1
900371,7,0.3,2,47.93,0,1,0,7,1,1
900372,9,0.5,2,42.71,1,1,1,4,3,1
900373,11,6.0,1,15.32,0,1,0,14,0,1
900374,5,7.8,1,5.0,0,1,1,4,0,0
900375,7,7.0,2,80.63,1,1,1,3,2,1
900376,14,3.6,5,181.99,0,0,0,16,0,1
900377,5,1.8,4,159.69,0,1,1,1,1,1
900378,6,6.1,1,38.14,1,0,1,10,0,0
900379,9,0.8,2,59.31,1,1,1,20,0,1
900380,7,0.9,3,81.68,0,0,1,15,0,0
900381,9,0.6,1,47.67,0,1,0,0,1,1
900382,10,0.6,1,42.66,0,0,1,0,0,0
900383,6,0.4,4,133.65,0,0,0,9,0,1
900384,4,2.2,5,114.78,0,0,1,14,0,1
900385,6,2.9,2,72.14,0,1,0,9,2,1
900386,2,1.8,1,37.28,0,0,0,11,0,0
900387,5,2.2,1,27.44,0,1,0,11,0,0
900388,6,6.1,3,113.52,0,1,1,15,3,0
900389,5,0.3,1,41.9,0,1,1,22,4,1
900390,9,4.9,1,40.19,0,0,1,17,0,0
900391,4,2.1,1,46.44,1,0,1,9,0,0
900392,8,16.3,1,45.21,0,0,1,23,0,0
900393,6,3.4,1,47.39,0,0,1,15,0,0
900394,5,2.0,1,28.54,1,0,1,20,0,0
900395,10,22.9,1,44.36,1,0,0,11,0,0
900396,6,0.2,1,40.76,0,1,0,9,2,0
900397,4,2.7,3,134.2,0,1,1,15,3,1
900398,3,4.6,2,72.86,0,0,0,9,0,1
900399,4,4.9,0,0.0,0,1,1,23,1,0
900400,8,4.0,2,45.51,0,0,1,1,0,0
900401,9,7.1,0,0.0,0,1,1,21,2,0
900402,5,3.4,1,49.59,0,0,1,15,0,0
900403,3,16.9,1,54.8,1,0,1,22,0,1
900404,10,7.6,1,33.51,1,0,1,20,0,0
900405,5,4.0,2,112.87,0,1,1,19,4,1
900406,4,0.2,3,99.09,0,0,1,7,0,0
900407,3,2.2,2,86.68,0,0,1,15,0,0
900408,4,1.0,1,35.76,0,1,1,21,0,0
900409,1,4.7,1,50.24,1,1,0,14,3,1
900410,4,3.5,3,112.34,0,1,1,4,3,1
900411,3,3.3,2,55.59,0,1,1,14,3,0
900412,6,3.3,1,47.47,0,1,0,17,4,0
900413,8,2.7,1,29.05,0,0,1,5,0,0
900414,6,15.0,1,38.76,0,1,1,12,3,0
900415,6,0.5,3,44.07,0,1,1,19,1,1
900416,3,5.0,0,0.0,0,1,1,12,2,0
900417,6,11.7,5,62.42,0,1,1,16,2,1
900418,7,3.9,0,0.0,0,0,1,2,0,0
900419,3,3.9,2,37.22,0,0,1,16,0,0
900420,8,1.5,3,64.68,0,1,1,7,0,1
900421,6,2.5,2,69.15,0,1,0,16,1,1
900422,7,1.6,2,53.88,0,0,1,7,0,0
900423,6,5.7,1,43.85,0,0,1,17,0,0
900424,9,9.1,2,64.09,0,0,0,17,0,0
900425,3,5.5,1,37.02,0,0,1,3,0,0
900426,8,7.0,1,25.2,0,0,1,20,0,1
900427,6,1.9,0,0.0,0,0,0,21,0,0
900428,5,4.4,0,0.0,1,0,0,5,0,0
900429,8,1.9,3,123.94,0,0,1,4,0,0
900430,6,6.2,1,44.12,0,0,0,19,0,0
900431,6,4.7,1,45.37,0,0,0,15,0,0
900432,5,0.4,0,0.0,0,1,1,10,0,0
900433,11,0.7,4,148.35,0,1,1,11,3,1
900434,7,30.0,2,96.51,0,0,0,10,0,0
900435,6,3.0,0,0.0,0,0,0,5,0,0
900436,5,0.3,2,60.08,1,0,1,13,0,1
900437,10,8.9,3,138.01,0,0,1,21,0,1
900438,12,5.1,2,95.11,0,0,1,9,0,0
900439,2,3.0,1,34.38,0,1,0,9,4,1
900440,8,1.0,1,42.44,1,1,1,4,2,1
900441,7,5.9,1,40.47,0,1,1,19,2,1
900442,5,0.1,4,144.31,0,1,0,3,1,1
900443,4,2.6,1,17.37,0,1,0,9,2,1
900444,6,12.5,2,43.56,1,1,1,14,0,1
900445,4,9.8,2,61.13,0,0,1,22,0,0
900446,5,0.1,1,35.5,0,1,0,14,1,1
900447,6,0.2,3,62.64,1,0,1,0,0,1
900448,4,8.1,2,19.76,0,1,1,6,3,0
900449,3,0.2,0,0.0,0,1,0,21,3,1
900450,7,0.4,2,70.21,0,1,0,3,1,1
900451,7,5.9,3,136.14,0,1,0,22,3,1
900452,2,1.3,2,116.39,0,1,0,2,2,1
900453,5,3.1,0,0.0,0,1,0,20,3,0
900454,4,4.6,1,39.1,0,1,1,1,0,1
900455,3,1.7,3,190.63,1,0,1,13,0,0
900456,4,2.7,2,38.38,0,0,1,11,0,0
900457,7,1.0,2,46.56,0,0,1,23,0,1
900458,2,0.3,3,139.99,1,1,1,10,2,1
900459,7,1.1,1,37.27,1,1,0,7,1,1
900460,6,13.1,1,38.31,0,1,1,9,3,1
900461,6,1.1,1,42.44,0,1,1,16,2,0
900462,3,2.8,2,87.76,0,0,1,4,0,1
900463,8,2.1,0,0.0,0,1,0,13,3,0
900464,9,8.9,1,41.55,0,1,1,7,0,0
900465,4,0.1,2,41.24,0,1,1,4,1,1
900466,3,1.4,1,46.79,1,0,0,4,0,0
900467,5,17.0,2,107.53,0,0,1,14,0,0
900468,9,1.9,1,48.31,1,0,1,16,0,0
900469,3,5.1,0,0.0,1,1,1,9,3,1
900470,5,0.8,5,288.23,0,0,1,17,0,0
900471,9,12.0,3,111.72,0,1,0,3,3,1
900472,6,2.5,1,46.92,0,0,0,16,0,0
900473,2,0.8,2,110.64,1,1,1,7,1,1
900474,7,0.1,0,0.0,0,1,1,15,3,0
900475,2,0.9,2,101.46,0,0,1,0,0,1
900476,10,0.8,2,42.84,0,0,1,17,0,1
900477,2,4.9,1,24.63,0,0,1,23,0,0
900478,7,4.5,0,0.0,0,0,0,12,0,0
900479,7,4.0,1,9.21,0,0,0,0,0,1
900480,2,7.7,2,52.8,0,1,1,18,1,1
900481,7,8.7,0,0.0,0,0,1,11,0,0
900482,6,6.5,2,62.66,1,0,1,8,0,1
900483,4,1.0,2,39.38,0,1,0,0,1,1
900484,2,5.4,1,5.41,0,1,1,20,0,0
900485,11,4.1,1,25.99,0,0,1,10,0,0
900486,4,0.4,0,0.0,0,1,0,5,3,0
900487,6,4.9,1,57.74,1,0,0,16,0,1
900488,8,3.0,2,69.54,0,0,1,22,0,0
900489,3,1.8,1,56.04,0,0,1,14,0,0
900490,4,0.5,1,26.4,0,1,1,1,1,1
900491,7,3.5,2,95.24,0,0,1,12,0,0
900492,8,1.2,2,75.86,1,0,1,15,0,1
900493,2,1.7,0,0.0,0,1,1,3,2,0
900494,3,0.2,0,0.0,0,1,1,19,2,0
900495,9,3.4,2,65.05,0,1,1,11,3,0
900496,5,1.0,1,31.34,0,1,0,10,1,1
900497,3,2.9,1,15.07,0,0,1,4,0,0
900498,8,3.4,1,58.64,0,1,1,9,1,1
900499,12,2.6,1,41.52,1,0,1,12,0,1
900500,6,16.8,1,21.64,1,1,1,20,0,1
900501,9,5.2,0,0.0,0,0,1,7,0,0
900502,1,4.9,3,92.48,0,1,1,14,4,0
900503,14,0.9,0,0.0,0,1,1,11,2,0
900504,7,6.5,2,63.01,0,1,1,18,3,1
900505,4,4.8,2,68.9,0,1,1,4,0,1
900506,2,9.3,1,27.5,0,1,1,22,0,0
900507,7,1.4,0,0.0,1,0,1,6,0,0
900508,6,0.2,3,104.41,0,1,1,12,1,0
900509,11,3.9,0,0.0,0,1,1,14,3,0
900510,10,0.8,0,0.0,0,0,1,8,0,0
900511,7,1.2,1,64.33,0,0,1,5,0,0
900512,11,0.6,3,99.96,0,0,1,23,0,0
